2023-09-30 21:02:28.089440 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs.
2023-09-30 21:03:11.569630 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs.
2023-09-30 21:04:39.105535 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs.
2023-09-30 21:04:46.425851 [WARNING]: NoneTypes was found, usually meaning unidentified songs.
2023-09-30 21:11:01.799981 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs.
2023-09-30 21:11:01.799981 [WARNING]: NoneTypes was found, usually meaning unidentified songs.
2023-09-30 21:16:32.571588 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Free As Can Be', 'Magnus Ringblom')
2023-09-30 21:16:49.327341 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Expedition', 'Adriel Fair')
2023-09-30 21:16:49.328311 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Butterflies', 'Peter Sandberg')
2023-09-30 21:16:49.328311 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Tumbling Part 1', 'Peter Sandberg')
2023-09-30 21:16:49.328311 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Breathing Again', 'Clarence Reed')
2023-09-30 21:16:49.329310 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Blue Brook', 'Clarence Reed')
2023-09-30 21:16:49.329310 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The long way back', 'Peter Sandberg')
2023-09-30 21:16:49.329310 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Never say no', 'Clarence Reed')
2023-09-30 21:16:49.330313 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Tumbling Part 2', 'Peter Sandberg')
2023-09-30 21:16:49.330313 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Jane', 'Peter Sandberg')
2023-09-30 21:16:49.330313 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Spring Morning', 'Peter Sandberg')
2023-09-30 21:16:49.331310 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('She is Everywhere', 'Clarence Reed')
2023-09-30 21:16:49.331310 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Up up way', 'Clarence Reed')
2023-09-30 21:16:49.332310 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Boost', 'Dream Cave')
2023-09-30 21:16:49.332310 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Lovely Ingenue', 'Leimoti ')
2023-09-30 21:16:49.332310 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Lightdrops', 'Peter Sandberg')
2023-09-30 21:16:49.332310 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('A New Horizon', 'Howard Harper-Barnes')
2023-09-30 21:16:49.332310 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Life in Peace', 'David Celeste')
2023-09-30 21:16:49.333817 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Cranberry', 'Peter Sandberg')
2023-09-30 21:16:49.333817 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Synesthesia', 'Clarence Reed')
2023-09-30 21:16:49.333817 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Before all of this', 'Raymond Grouse')
2023-09-30 21:16:49.333817 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Don’t Blink', 'Clarence Reed')
2023-09-30 21:16:49.334824 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Discoveries', 'Clarence Reed')
2023-09-30 21:16:49.334824 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Warmth of The Sun on Her Skin', 'Peter Sandberg')
2023-09-30 21:16:49.334824 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Nature’s Wonders', 'Bonnie Grace')
2023-09-30 21:16:49.335824 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Brother John’s Farewell', 'Brightarm Orchestra')
2023-09-30 21:16:49.335824 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Beginning', 'Gavin Luke')
2023-09-30 21:16:49.335824 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Wonders', 'Gavin Luke')
2023-09-30 21:16:49.336534 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Ancestors', 'Gavin Luke')
2023-09-30 21:16:49.336534 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('We Can Conquer The World', 'Voilet Barber')
2023-09-30 21:16:49.336534 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Broad Horizons', 'Francis Wells')
2023-09-30 21:16:53.865957 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs.
2023-09-30 21:16:53.866925 [WARNING]: NoneTypes was found, usually meaning unidentified songs.
2023-09-30 21:17:25.360926 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Free As Can Be', 'Magnus Ringblom')
2023-09-30 21:17:25.361917 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Expedition', 'Adriel Fair')
2023-09-30 21:17:25.361917 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Butterflies', 'Peter Sandberg')
2023-09-30 21:17:25.362917 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Tumbling Part 1', 'Peter Sandberg')
2023-09-30 21:17:25.362917 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Breathing Again', 'Clarence Reed')
2023-09-30 21:17:25.362917 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Blue Brook', 'Clarence Reed')
2023-09-30 21:17:25.362917 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The long way back', 'Peter Sandberg')
2023-09-30 21:17:25.362917 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Never say no', 'Clarence Reed')
2023-09-30 21:17:25.362917 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Tumbling Part 2', 'Peter Sandberg')
2023-09-30 21:17:25.364512 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Jane', 'Peter Sandberg')
2023-09-30 21:17:25.364512 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Spring Morning', 'Peter Sandberg')
2023-09-30 21:17:25.364512 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('She is Everywhere', 'Clarence Reed')
2023-09-30 21:17:25.365433 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Up up way', 'Clarence Reed')
2023-09-30 21:17:25.365433 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Boost', 'Dream Cave')
2023-09-30 21:17:25.366441 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Lovely Ingenue', 'Leimoti ')
2023-09-30 21:17:25.366441 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Lightdrops', 'Peter Sandberg')
2023-09-30 21:17:25.366441 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('A New Horizon', 'Howard Harper-Barnes')
2023-09-30 21:17:25.366441 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Life in Peace', 'David Celeste')
2023-09-30 21:17:25.367433 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Cranberry', 'Peter Sandberg')
2023-09-30 21:17:25.367718 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Synesthesia', 'Clarence Reed')
2023-09-30 21:17:25.367718 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Before all of this', 'Raymond Grouse')
2023-09-30 21:17:25.368735 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Don’t Blink', 'Clarence Reed')
2023-09-30 21:17:25.369733 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Discoveries', 'Clarence Reed')
2023-09-30 21:17:25.369733 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Warmth of The Sun on Her Skin', 'Peter Sandberg')
2023-09-30 21:17:25.369733 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Nature’s Wonders', 'Bonnie Grace')
2023-09-30 21:17:25.370730 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Brother John’s Farewell', 'Brightarm Orchestra')
2023-09-30 21:17:25.370730 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Beginning', 'Gavin Luke')
2023-09-30 21:17:25.370730 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Wonders', 'Gavin Luke')
2023-09-30 21:17:25.371729 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Ancestors', 'Gavin Luke')
2023-09-30 21:17:25.371729 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('We Can Conquer The World', 'Voilet Barber')
2023-09-30 21:17:25.371729 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Broad Horizons', 'Francis Wells')
2023-09-30 21:17:38.045931 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs.
2023-09-30 21:17:38.046924 [WARNING]: NoneTypes was found, usually meaning unidentified songs.
2023-09-30 21:18:45.157578 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Free As Can Be', 'Magnus Ringblom')
2023-09-30 21:18:45.159589 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Expedition', 'Adriel Fair')
2023-09-30 21:18:45.160585 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Butterflies', 'Peter Sandberg')
2023-09-30 21:18:45.160585 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Tumbling Part 1', 'Peter Sandberg')
2023-09-30 21:18:45.161588 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Breathing Again', 'Clarence Reed')
2023-09-30 21:18:45.161588 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Blue Brook', 'Clarence Reed')
2023-09-30 21:18:45.162595 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The long way back', 'Peter Sandberg')
2023-09-30 21:18:45.163585 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Never say no', 'Clarence Reed')
2023-09-30 21:18:45.163585 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Tumbling Part 2', 'Peter Sandberg')
2023-09-30 21:18:45.165224 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Jane', 'Peter Sandberg')
2023-09-30 21:18:45.165224 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Spring Morning', 'Peter Sandberg')
2023-09-30 21:18:45.165224 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('She is Everywhere', 'Clarence Reed')
2023-09-30 21:18:45.166132 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Up up way', 'Clarence Reed')
2023-09-30 21:18:45.166132 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Boost', 'Dream Cave')
2023-09-30 21:18:45.167143 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Lovely Ingenue', 'Leimoti ')
2023-09-30 21:18:45.167143 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Lightdrops', 'Peter Sandberg')
2023-09-30 21:18:45.168148 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('A New Horizon', 'Howard Harper-Barnes')
2023-09-30 21:18:45.169146 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Life in Peace', 'David Celeste')
2023-09-30 21:18:45.169146 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Cranberry', 'Peter Sandberg')
2023-09-30 21:18:45.170142 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Synesthesia', 'Clarence Reed')
2023-09-30 21:18:45.171145 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Before all of this', 'Raymond Grouse')
2023-09-30 21:18:45.171145 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Don’t Blink', 'Clarence Reed')
2023-09-30 21:18:45.172138 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Discoveries', 'Clarence Reed')
2023-09-30 21:18:45.172138 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Warmth of The Sun on Her Skin', 'Peter Sandberg')
2023-09-30 21:18:45.173138 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Nature’s Wonders', 'Bonnie Grace')
2023-09-30 21:18:45.173138 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Brother John’s Farewell', 'Brightarm Orchestra')
2023-09-30 21:18:45.174141 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Beginning', 'Gavin Luke')
2023-09-30 21:18:45.174141 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Wonders', 'Gavin Luke')
2023-09-30 21:18:45.174141 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Ancestors', 'Gavin Luke')
2023-09-30 21:18:45.175140 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('We Can Conquer The World', 'Voilet Barber')
2023-09-30 21:18:45.175647 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Broad Horizons', 'Francis Wells')
2023-09-30 21:19:08.707669 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs.
2023-09-30 21:19:08.708638 [WARNING]: NoneTypes was found, usually meaning unidentified songs.
2023-09-30 21:20:26.530510 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Free As Can Be', 'Magnus Ringblom')
2023-09-30 21:20:26.530510 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Expedition', 'Adriel Fair')
2023-09-30 21:20:26.530510 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Butterflies', 'Peter Sandberg')
2023-09-30 21:20:26.531510 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Tumbling Part 1', 'Peter Sandberg')
2023-09-30 21:20:26.531510 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Breathing Again', 'Clarence Reed')
2023-09-30 21:20:26.531510 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Blue Brook', 'Clarence Reed')
2023-09-30 21:20:26.532507 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The long way back', 'Peter Sandberg')
2023-09-30 21:20:26.532507 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Never say no', 'Clarence Reed')
2023-09-30 21:20:26.532507 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Tumbling Part 2', 'Peter Sandberg')
2023-09-30 21:20:26.533507 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Jane', 'Peter Sandberg')
2023-09-30 21:20:26.533507 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Spring Morning', 'Peter Sandberg')
2023-09-30 21:20:26.534510 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('She is Everywhere', 'Clarence Reed')
2023-09-30 21:20:26.534510 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Up up way', 'Clarence Reed')
2023-09-30 21:20:26.535509 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Boost', 'Dream Cave')
2023-09-30 21:20:26.536017 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Lovely Ingenue', 'Leimoti ')
2023-09-30 21:20:26.537038 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Lightdrops', 'Peter Sandberg')
2023-09-30 21:20:26.537038 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('A New Horizon', 'Howard Harper-Barnes')
2023-09-30 21:20:26.538054 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Life in Peace', 'David Celeste')
2023-09-30 21:20:26.538054 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Cranberry', 'Peter Sandberg')
2023-09-30 21:20:26.539054 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Synesthesia', 'Clarence Reed')
2023-09-30 21:20:26.539054 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Before all of this', 'Raymond Grouse')
2023-09-30 21:20:26.540057 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Don’t Blink', 'Clarence Reed')
2023-09-30 21:20:26.540057 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Discoveries', 'Clarence Reed')
2023-09-30 21:20:26.541050 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Warmth of The Sun on Her Skin', 'Peter Sandberg')
2023-09-30 21:20:26.541050 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Nature’s Wonders', 'Bonnie Grace')
2023-09-30 21:20:26.541050 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Brother John’s Farewell', 'Brightarm Orchestra')
2023-09-30 21:20:26.542048 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Beginning', 'Gavin Luke')
2023-09-30 21:20:26.542048 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Wonders', 'Gavin Luke')
2023-09-30 21:20:26.542048 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Ancestors', 'Gavin Luke')
2023-09-30 21:20:26.543047 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('We Can Conquer The World', 'Voilet Barber')
2023-09-30 21:20:26.543047 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Broad Horizons', 'Francis Wells')
2023-09-30 21:20:31.178116 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs.
2023-09-30 21:20:31.179141 [WARNING]: NoneTypes was found, usually meaning unidentified songs.
2023-09-30 21:20:35.415475 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Free As Can Be', 'Magnus Ringblom')
2023-09-30 21:20:35.416572 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Expedition', 'Adriel Fair')
2023-09-30 21:20:35.416572 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Butterflies', 'Peter Sandberg')
2023-09-30 21:20:35.417573 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Tumbling Part 1', 'Peter Sandberg')
2023-09-30 21:20:35.417573 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Breathing Again', 'Clarence Reed')
2023-09-30 21:20:35.417573 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Blue Brook', 'Clarence Reed')
2023-09-30 21:20:35.417573 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The long way back', 'Peter Sandberg')
2023-09-30 21:20:35.418576 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Never say no', 'Clarence Reed')
2023-09-30 21:20:35.418576 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Tumbling Part 2', 'Peter Sandberg')
2023-09-30 21:20:35.419574 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Jane', 'Peter Sandberg')
2023-09-30 21:20:35.419574 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Spring Morning', 'Peter Sandberg')
2023-09-30 21:20:35.419574 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('She is Everywhere', 'Clarence Reed')
2023-09-30 21:20:35.420579 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Up up way', 'Clarence Reed')
2023-09-30 21:20:35.420579 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Boost', 'Dream Cave')
2023-09-30 21:20:35.420579 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Lovely Ingenue', 'Leimoti ')
2023-09-30 21:20:35.420579 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Lightdrops', 'Peter Sandberg')
2023-09-30 21:20:35.421578 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('A New Horizon', 'Howard Harper-Barnes')
2023-09-30 21:20:35.421578 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Life in Peace', 'David Celeste')
2023-09-30 21:20:35.421578 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Cranberry', 'Peter Sandberg')
2023-09-30 21:20:35.422577 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Synesthesia', 'Clarence Reed')
2023-09-30 21:20:35.422577 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Before all of this', 'Raymond Grouse')
2023-09-30 21:20:35.423576 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Don’t Blink', 'Clarence Reed')
2023-09-30 21:20:35.423576 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Discoveries', 'Clarence Reed')
2023-09-30 21:20:35.424579 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Warmth of The Sun on Her Skin', 'Peter Sandberg')
2023-09-30 21:20:35.424579 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Nature’s Wonders', 'Bonnie Grace')
2023-09-30 21:20:35.424579 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Brother John’s Farewell', 'Brightarm Orchestra')
2023-09-30 21:20:35.425576 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('The Beginning', 'Gavin Luke')
2023-09-30 21:20:35.425576 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Wonders', 'Gavin Luke')
2023-09-30 21:20:35.425576 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('Ancestors', 'Gavin Luke')
2023-09-30 21:20:35.426835 [WARNING]: Duplicate URI's found in exported list, usually meaning duplicated songs, ID: ('We Can Conquer The World', 'Voilet Barber')
